kB,kM,kA,q,w,k_total,rule_ensemble,mutation_rate,initial_mode,n_initial_states,source_for_liveness,s1_shared_classes,s2_shared_classes,s1_residual_qcoords,s2_residual_qcoords,s1_edge_density,s2_edge_density,H_source_bits,H_s1_bits,H_s2_bits,transport_mi_bits,transport_mi_over_Hs1,transport_mi_over_Hs2,source_to_s1_mi_bits,source_to_s2_mi_bits,source_to_s1_mi_over_Hs1,source_to_s2_mi_over_Hs2,s1_to_s2_best_accuracy,s2_to_s1_best_accuracy,s1_s2_variation_of_information_norm,transport_selected,live_transport_selected,seed,instance
2,2,2,4,1,14,random,0.1,joint_random,4096,postB,1,1,0.0,0.0,0.6875,0.5625,1.5058797152053924,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3349728,4
2,2,2,4,1,14,random,0.1,joint_random,4095,postB,1,1,0.0,0.0,0.6875,0.625,1.5102970087483185,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3349729,5
2,2,2,4,1,14,random,0.1,joint_random,4096,postB,2,1,0.5,0.0,0.5,0.75,1.9998950868683825,0.788053367223658,-0.0,0.0,0.0,0.0,0.02069657256917523,0.0,0.02626290734863559,0.0,1.0,0.76416015625,1.0,False,False,3349730,6
2,2,2,4,1,14,random,0.1,joint_random,4096,postB,1,1,0.0,0.0,0.8125,0.6875,1.4954494535599125,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3349731,7
2,2,2,4,1,14,random,0.1,joint_random,4096,postB,1,1,0.0,0.0,0.6875,0.625,1.497508148169227,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3349732,8
2,2,2,4,1,14,random,0.1,joint_random,4096,postB,1,1,0.0,0.0,0.6875,0.6875,1.4957894137242818,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3349733,9
2,2,2,4,1,14,random,0.1,joint_random,4096,postB,1,1,0.0,0.0,0.75,0.5,0.8263924914287071,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3349734,10
2,2,2,4,1,14,random,0.1,joint_random,4096,postB,3,1,0.7924812503605781,0.0,0.25,0.6875,-0.0,1.1174716175489743,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.68798828125,1.0,False,False,3349735,11
2,2,2,4,1,14,random,0.1,joint_random,4096,postB,1,1,0.0,0.0,0.5,0.625,1.478501217557899,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3349736,12
2,2,2,4,1,14,random,0.1,joint_random,4096,postB,1,1,0.0,0.0,0.5625,0.8125,1.4925206422494102,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3349737,13
2,2,2,4,1,14,random,0.1,joint_random,4096,postB,1,1,0.0,0.0,0.625,0.6875,1.4965313519461454,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3349738,14
2,2,2,4,1,14,random,0.1,joint_random,4096,postB,1,1,0.0,0.0,0.625,0.625,0.8204336100852311,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3349739,15
