Lx,Ly,mode,p,n_lattices,loop_w,loop_h,area,perimeter,n_loops,mean_W,abs_mean_W,frac_negative,seed
8,8,empirical_plaquette,0.8476690741956664,500,3,3,9,12,18000,-0.03755555555555556,0.03755555555555556,0.5187777777777778,2701966
8,8,empirical_plaquette,0.8476690741956664,500,3,4,12,14,15000,0.024133333333333333,0.024133333333333333,0.48793333333333333,2701966
8,8,empirical_plaquette,0.8476690741956664,500,3,5,15,16,12000,-0.007833333333333333,0.007833333333333333,0.5039166666666667,2701966
8,8,empirical_plaquette,0.8476690741956664,500,4,1,4,10,20000,0.237,0.237,0.3815,2701966
8,8,empirical_plaquette,0.8476690741956664,500,4,2,8,12,17500,0.054514285714285717,0.054514285714285717,0.47274285714285713,2701966
8,8,empirical_plaquette,0.8476690741956664,500,4,3,12,14,15000,0.013066666666666667,0.013066666666666667,0.49346666666666666,2701966
8,8,empirical_plaquette,0.8476690741956664,500,4,4,16,16,12500,0.00896,0.00896,0.49552,2701966
8,8,empirical_plaquette,0.8476690741956664,500,4,5,20,18,10000,-0.0088,0.0088,0.5044,2701966
8,8,empirical_plaquette,0.8476690741956664,500,5,1,5,12,16000,-0.173,0.173,0.5865,2701966
8,8,empirical_plaquette,0.8476690741956664,500,5,2,10,14,14000,0.025,0.025,0.4875,2701966
8,8,empirical_plaquette,0.8476690741956664,500,5,3,15,16,12000,-0.0023333333333333335,0.0023333333333333335,0.5011666666666666,2701966
8,8,empirical_plaquette,0.8476690741956664,500,5,4,20,18,10000,-0.0148,0.0148,0.5074,2701966
8,8,empirical_plaquette,0.8476690741956664,500,5,5,25,20,8000,-0.011,0.011,0.5055,2701966
10,10,empirical_plaquette,0.8476690741956664,500,1,1,1,4,50000,-0.69564,0.69564,0.84782,2720318
10,10,empirical_plaquette,0.8476690741956664,500,1,2,2,6,45000,0.4822222222222222,0.4822222222222222,0.2588888888888889,2720318
10,10,empirical_plaquette,0.8476690741956664,500,1,3,3,8,40000,-0.3373,0.3373,0.66865,2720318
10,10,empirical_plaquette,0.8476690741956664,500,1,4,4,10,35000,0.2362857142857143,0.2362857142857143,0.38185714285714284,2720318
10,10,empirical_plaquette,0.8476690741956664,500,1,5,5,12,30000,-0.16486666666666666,0.16486666666666666,0.5824333333333334,2720318
10,10,empirical_plaquette,0.8476690741956664,500,2,1,2,6,45000,0.48417777777777776,0.48417777777777776,0.2579111111111111,2720318
10,10,empirical_plaquette,0.8476690741956664,500,2,2,4,8,40500,0.23185185185185186,0.23185185185185186,0.38407407407407407,2720318
10,10,empirical_plaquette,0.8476690741956664,500,2,3,6,10,36000,0.1185,0.1185,0.44075,2720318
10,10,empirical_plaquette,0.8476690741956664,500,2,4,8,12,31500,0.06558730158730158,0.06558730158730158,0.4672063492063492,2720318
10,10,empirical_plaquette,0.8476690741956664,500,2,5,10,14,27000,0.039185185185185184,0.039185185185185184,0.4804074074074074,2720318
10,10,empirical_plaquette,0.8476690741956664,500,3,1,3,8,40000,-0.3361,0.3361,0.66805,2720318
10,10,empirical_plaquette,0.8476690741956664,500,3,2,6,10,36000,0.10933333333333334,0.10933333333333334,0.44533333333333336,2720318
10,10,empirical_plaquette,0.8476690741956664,500,3,3,9,12,32000,-0.0371875,0.0371875,0.51859375,2720318
