kB,kA,q,w,horizon,observer_init,n_rec_B,n_A_states,n_joint_states,n_schedules,logRecB_bits,memory_bits,cut_bits,physical_bound_bits,signature_classes,signature_bits,zero_error_code_size,zero_error_exact,zero_error_bits,shannon_capacity_bits,zero_error_over_volume,capacity_over_volume,capacity_per_boundary_symbol,nontrivial_sccs,interface,seed,extra_B,extra_A
4,3,4,3,1,zero,112,64,16384,144,6.807354922057604,6.0,6.0,6.0,111,6.794415866350106,2,False,1.0,1.91677566460007,0.1468999356504447,0.28157422178608865,0.3194626107666783,2,"((0, 0), (1, 1), (2, 2))",37809,4,3
4,3,4,3,3,zero,112,64,16384,144,6.807354922057604,6.0,18.0,6.0,3,1.584962500721156,1,False,0.0,0.5181843359557795,0.0,0.07612124560697243,0.08636405599262992,2,"((0, 0), (1, 1), (2, 2))",37809,4,3
4,3,4,3,6,zero,112,64,16384,144,6.807354922057604,6.0,36.0,6.0,2,1.0,1,False,0.0,0.4822758031949034,0.0,0.07084628445509784,0.08037930053248389,2,"((0, 0), (1, 1), (2, 2))",37809,4,3
4,3,4,3,1,zero,76,64,16384,144,6.247927513443585,6.0,6.0,6.0,54,5.754887502163468,1,True,0.0,1.02941585662493,0.0,0.1647611715100646,0.17156930943748835,2,"((0, 0), (1, 1), (2, 2))",37810,4,3
4,3,4,3,3,zero,76,64,16384,144,6.247927513443585,6.0,18.0,6.0,11,3.4594316186372973,1,True,0.0,0.19836866560018618,0.0,0.03174951456676776,0.033061444266697694,2,"((0, 0), (1, 1), (2, 2))",37810,4,3
4,3,4,3,6,zero,76,64,16384,144,6.247927513443585,6.0,36.0,6.0,1,0.0,1,True,0.0,0.01781939291053078,0.0,0.002852048598865627,0.0029698988184217964,2,"((0, 0), (1, 1), (2, 2))",37810,4,3
4,3,4,3,1,zero,31,64,16384,144,4.954196310386875,6.0,6.0,4.954196310386875,26,4.700439718141092,2,True,1.0,1.882527132206414,0.20184908658209985,0.3799863821018846,0.31375452203440235,2,"((0, 0), (1, 1), (2, 2))",37811,4,3
4,3,4,3,3,zero,31,64,16384,144,4.954196310386875,6.0,18.0,4.954196310386875,4,2.0,1,True,0.0,0.8422822823788629,0.0,0.1700139093424598,0.14038038039647716,2,"((0, 0), (1, 1), (2, 2))",37811,4,3
4,3,4,3,6,zero,31,64,16384,144,4.954196310386875,6.0,36.0,4.954196310386875,4,2.0,1,True,0.0,0.7295123116434461,0.0,0.14725139375562576,0.12158538527390768,2,"((0, 0), (1, 1), (2, 2))",37811,4,3
4,3,4,3,1,zero,65,64,16384,144,6.022367813028454,6.0,6.0,6.0,42,5.392317422778761,1,True,0.0,1.2511251972477135,0.0,0.20774639412443377,0.20852086620795227,2,"((0, 0), (1, 1), (2, 2))",37812,4,3
4,3,4,3,3,zero,65,64,16384,144,6.022367813028454,6.0,18.0,6.0,3,1.584962500721156,1,True,0.0,0.0960160970470871,0.0,0.015943246913509873,0.016002682841181184,2,"((0, 0), (1, 1), (2, 2))",37812,4,3
4,3,4,3,6,zero,65,64,16384,144,6.022367813028454,6.0,36.0,6.0,1,0.0,1,True,0.0,0.002150221048297097,0.0,0.00035703914391369934,0.00035837017471618287,2,"((0, 0), (1, 1), (2, 2))",37812,4,3
4,3,4,3,1,zero,31,64,16384,144,4.954196310386875,6.0,6.0,4.954196310386875,27,4.754887502163468,1,True,0.0,1.4188692651401291,0.0,0.28639746514795034,0.2364782108566882,2,"((0, 0), (1, 1), (2, 2))",37813,4,3
4,3,4,3,3,zero,31,64,16384,144,4.954196310386875,6.0,18.0,4.954196310386875,6,2.584962500721156,1,True,0.0,0.75997744904705,0.0,0.15340075391314137,0.12666290817450834,2,"((0, 0), (1, 1), (2, 2))",37813,4,3
4,3,4,3,6,zero,31,64,16384,144,4.954196310386875,6.0,36.0,4.954196310386875,4,2.0,1,True,0.0,0.5163315708697962,0.0,0.10422105595356912,0.0860552618116327,2,"((0, 0), (1, 1), (2, 2))",37813,4,3
4,3,4,3,1,zero,87,64,16384,144,6.442943495848728,6.0,6.0,6.0,63,5.977279923499917,2,False,1.0,1.7189528389690922,0.15520856277015513,0.2667961996060707,0.28649213982818206,2,"((0, 0), (1, 1), (2, 2))",37814,4,3
4,3,4,3,3,zero,87,64,16384,144,6.442943495848728,6.0,18.0,6.0,3,1.584962500721156,1,False,0.0,0.20740659205150738,0.0,0.03219127906137034,0.0345677653419179,2,"((0, 0), (1, 1), (2, 2))",37814,4,3
4,3,4,3,6,zero,87,64,16384,144,6.442943495848728,6.0,36.0,6.0,1,0.0,1,False,0.0,0.0012647616816324565,0.0,0.0001963018428529381,0.00021079361360540943,2,"((0, 0), (1, 1), (2, 2))",37814,4,3
4,3,4,3,1,zero,29,64,16384,144,4.857980995127572,6.0,6.0,4.857980995127572,25,4.643856189774724,2,True,1.0,1.5599071870592693,0.20584683246043448,0.321101953388417,0.2599845311765449,2,"((0, 0), (1, 1), (2, 2))",37815,4,3
4,3,4,3,3,zero,29,64,16384,144,4.857980995127572,6.0,18.0,4.857980995127572,7,2.807354922057604,1,True,0.0,0.6328423943823334,0.0,0.13026860233028037,0.10547373239705556,2,"((0, 0), (1, 1), (2, 2))",37815,4,3
4,3,4,3,6,zero,29,64,16384,144,4.857980995127572,6.0,36.0,4.857980995127572,3,1.584962500721156,1,True,0.0,0.5092773508269418,0.0,0.1048331295115674,0.08487955847115697,2,"((0, 0), (1, 1), (2, 2))",37815,4,3
