classes_by_vertex,vertex_costs_qcoords,quotient_dim_qcoords,quotient_cost_qcoords,quotient_cost_bits,collapsed_vertices,fully_collapsed_vertices,cost_B_qcoords,cost_B_bits,cost_C_qcoords,cost_C_bits,cost_D_qcoords,cost_D_bits,cost_A_qcoords,cost_A_bits,cost_A_panel_qcoords,cost_A_panel_bits,constraint_mode,initial_pool,observer_init,close_admissibility,kB,kC,kD,kA,kM,k_total,q,w,n_initial_states,n_schedules,branch_order_seed_merges,sink_seed_merges,strict_schedule_seed_merges,admissibility_merges,admissibility_iterations,extra_B,extra_C,extra_D,extra_A,seed,instance
"[4, 4, 4, 4, 4, 4, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",6.0,3.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,3,0,3,2,2,2,2,3,12068,32
"[2, 2, 1, 2, 1, 2, 1, 1, 1]","[0.5, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 1.0, 1.0]",2.0,7.0,14.0,9,5,1.0,2.0,1.5,3.0,1.5,3.0,3.0,6.0,2.0,4.0,strict_schedule,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,23,0,1,2,2,2,3,12068,32
"[4, 4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,0,0,1,2,2,2,3,12069,33
"[4, 4, 4, 4, 4, 4, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",6.0,3.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,3,0,3,2,2,2,2,3,12069,33
"[2, 1, 2, 2, 1, 4, 1, 1, 1]","[0.5, 1.0, 0.5, 0.5, 1.0, 0.0, 1.0, 1.0, 1.0]",2.5,6.5,13.0,8,5,1.5,3.0,1.0,2.0,1.0,2.0,3.0,6.0,2.0,4.0,strict_schedule,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,21,0,1,2,2,2,3,12069,33
"[4, 4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,0,0,1,2,2,2,3,12070,34
"[4, 4, 4, 4, 4, 4, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",6.0,3.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,3,0,3,2,2,2,2,3,12070,34
"[1, 2, 1, 1, 1, 2, 1, 1, 1]","[1.0, 0.5, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0]",1.0,8.0,16.0,9,7,1.5,3.0,2.0,4.0,1.5,3.0,3.0,6.0,2.0,4.0,strict_schedule,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,25,0,1,2,2,2,3,12070,34
"[4, 4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,0,0,0,1,2,2,2,3,12071,35
"[4, 4, 4, 4, 4, 4, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",6.0,3.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,3,2,9,4,1,4096,96,0,3,0,3,2,2,2,2,3,12071,35
