graph_id,source_observer,target_observer,n_edges,source_boundary_nodes,target_boundary_nodes,edge_mi_bits,edge_mi_norm,edge_h_input_bits,live_edge,edges
68,4,2,1,1,1,0.7209754095806153,0.3604877047903077,2.0,1,14->7
68,4,3,1,1,1,0.14081204334734876,0.07040602167367438,2.0,1,12->15
69,2,0,1,1,1,0.6022170014624826,0.3011085007312413,2.0,1,1->11
69,2,1,2,2,2,0.745000638457264,0.186250159614316,4.0,1,0->12 1->14
69,3,0,1,1,1,0.09370403400168481,0.046852017000842405,2.0,1,17->10
69,3,1,2,2,2,0.4407826388863505,0.11019565972158762,4.0,1,15->12 16->13
69,4,2,1,1,1,0.5612781244591329,0.28063906222956647,2.0,1,7->2
69,4,3,1,1,1,0.31127812445913294,0.15563906222956647,2.0,1,4->15
70,2,0,1,1,1,0.02184609799583548,0.01092304899791774,2.0,0,12->2
70,2,1,1,1,1,0.5078560636920488,0.2539280318460244,2.0,1,13->16
70,3,1,1,1,1,0.646782221599798,0.323391110799899,2.0,1,4->17
70,3,2,1,1,1,0.375,0.1875,2.0,1,4->14
70,4,0,2,2,2,0.19427917438665254,0.048569793596663136,4.0,1,8->1 11->2
71,2,0,2,2,2,0.24188962715298956,0.06047240678824739,4.0,1,0->10 3->11
71,2,1,1,1,1,0.43627812445913294,0.21813906222956647,2.0,1,1->12
71,3,2,1,1,1,0.46836016083271437,0.23418008041635718,2.0,1,5->1
72,2,1,1,1,1,0.8522170014624826,0.4261085007312413,2.0,1,16->10
72,3,0,1,1,1,0.05229547593206352,0.02614773796603176,2.0,1,3->4
72,3,2,2,1,2,1.1186504381786442,0.5593252190893221,2.0,1,0->15 0->17
73,2,1,1,1,1,0.4772170014624826,0.2386085007312413,2.0,1,6->12
73,3,2,1,1,1,0.07832069893077431,0.039160349465387156,2.0,1,16->5
73,4,3,1,1,1,0.6266144718101816,0.3133072359050908,2.0,1,11->15
74,2,0,1,1,1,0.0996234450213005,0.04981172251065025,2.0,1,6->2
74,2,1,2,2,2,0.7796382852918464,0.1949095713229616,4.0,1,4->13 6->14
74,3,2,1,1,1,0.3828560636920493,0.19142803184602464,2.0,1,11->6
75,1,0,1,1,1,0.4544340029249647,0.22721700146248236,2.0,1,1->12
75,4,3,1,1,1,0.4211796919474975,0.21058984597374875,2.0,1,17->10
76,1,0,2,2,2,0.45443400292496516,0.11360850073124129,4.0,1,2->12 3->13
76,3,1,1,1,1,0.42379494069539847,0.21189747034769923,2.0,1,6->2
76,3,2,1,1,1,0.08089178169531586,0.04044589084765793,2.0,1,5->16
77,1,0,1,1,1,0.023122697374224455,0.011561348687112227,2.0,0,5->15
77,2,0,1,1,1,0.0236795531941274,0.0118397765970637,2.0,0,0->15
77,2,1,1,1,1,0.12746571798294415,0.06373285899147207,2.0,1,1->6
77,3,1,1,1,1,0.1608870537238447,0.08044352686192235,2.0,1,13->6
77,4,0,1,1,1,0.025333899486919442,0.012666949743459721,2.0,0,9->15
77,4,3,1,1,1,0.0791599300337209,0.03957996501686045,2.0,1,10->14
78,1,0,1,1,1,0.19951249096910972,0.09975624548455486,2.0,1,12->9
