kB,kA,q,w,horizon,observer_init,n_rec_B,n_A_states,n_joint_states,n_schedules,logRecB_bits,memory_bits,cut_bits,physical_bound_bits,signature_classes,signature_bits,zero_error_code_size,zero_error_exact,zero_error_bits,shannon_capacity_bits,zero_error_over_volume,capacity_over_volume,capacity_per_boundary_symbol,nontrivial_sccs,interface,seed,extra_B,extra_A
4,3,4,1,3,zero,14,64,16384,144,3.807354922057604,6.0,6.0,3.807354922057604,4,2.0,1,True,0.0,0.6102144601379292,0.0,0.1602725442281992,0.3051072300689646,2,"((0, 0),)",37537,4,3
4,3,4,1,4,zero,14,64,16384,144,3.807354922057604,6.0,8.0,3.807354922057604,3,1.584962500721156,1,True,0.0,0.5640631241384862,0.0,0.1481509172866002,0.2820315620692431,2,"((0, 0),)",37537,4,3
4,3,4,1,5,zero,14,64,16384,144,3.807354922057604,6.0,10.0,3.807354922057604,3,1.584962500721156,1,True,0.0,0.6198376842416199,0.0,0.16280007956459225,0.30991884212080995,2,"((0, 0),)",37537,4,3
4,3,4,1,6,zero,14,64,16384,144,3.807354922057604,6.0,12.0,3.807354922057604,3,1.584962500721156,1,True,0.0,0.631779090144961,0.0,0.1659364842727952,0.3158895450724805,2,"((0, 0),)",37537,4,3
4,3,4,1,1,zero,82,64,16384,144,6.357552004618084,6.0,2.0,2.0,11,3.4594316186372973,2,False,1.0,1.151578818256234,0.1572932473495469,0.18113557190247676,0.575789409128117,2,"((0, 0),)",37538,4,3
4,3,4,1,2,zero,82,64,16384,144,6.357552004618084,6.0,4.0,4.0,12,3.584962500721156,1,False,0.0,0.690720929883489,0.0,0.10864573807367267,0.3453604649417445,2,"((0, 0),)",37538,4,3
4,3,4,1,3,zero,82,64,16384,144,6.357552004618084,6.0,6.0,6.0,8,3.0,1,False,0.0,0.4952382242130719,0.0,0.07789762849809709,0.24761911210653595,2,"((0, 0),)",37538,4,3
4,3,4,1,4,zero,82,64,16384,144,6.357552004618084,6.0,8.0,6.0,2,1.0,1,False,0.0,0.4651910636079453,0.0,0.07317141303288335,0.23259553180397266,2,"((0, 0),)",37538,4,3
4,3,4,1,5,zero,82,64,16384,144,6.357552004618084,6.0,10.0,6.0,2,1.0,1,False,0.0,0.3930647442536111,0.0,0.06182643004226965,0.19653237212680555,2,"((0, 0),)",37538,4,3
4,3,4,1,6,zero,82,64,16384,144,6.357552004618084,6.0,12.0,6.0,2,1.0,1,False,0.0,0.36338885000923876,0.0,0.057158612268570594,0.18169442500461938,2,"((0, 0),)",37538,4,3
