q,rows,cols,n_links,n_plaquettes,rule_ensemble,mutation_rate,closed_scc,n_scc,link_schedule_consistency,flux_schedule_consistency,quotient_determinism_accuracy,quotient_determinism_exact,link_bit_entropy_bits,link_bit_entropy_norm,quotient_transition_mi_bits,quotient_transition_mi_norm,plaquette_flux_entropy_bits,initial_flux_entropy_bits,recurrent_flux_entropy_bits,recurrent_flux_fixed_fraction,mean_nontrivial_flux_fraction,partition_index,partition,quotient_score,closed_c2_quotient,recurrent_flux_nontrivial,closed_medium_candidate,search_mode,run,generation,candidate,seed,blind_fitness
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.11572265625,False,7.959279297616284,0.9949099122020355,4.059073894819576,0.5099800802360616,2.9986283926119452,2.9992889003745544,2.991944519618068,0.091796875,0.507080078125,5,0011,0.2394849121279071,False,True,False,null,-1,0,14,4962.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.1162109375,False,7.955669135756317,0.9944586419695396,4.065413437527937,0.511008359970145,2.9992214767413126,2.9996431579451985,2.978484995465358,0.12890625,0.501708984375,2,0110,0.23956555651890793,False,True,False,null,-1,0,15,4963.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.114013671875,False,7.95111577929689,0.9938894724121112,4.029965363393142,0.5068427470124839,2.997701244386128,2.998304032347754,2.975510979291136,0.140625,0.494140625,5,0011,0.23868267963867223,False,True,False,null,-1,0,16,4964.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.115966796875,False,7.954337234524849,0.9942921543156061,4.053158354269975,0.5095532455774852,2.9972821128704688,2.9988203192365814,2.983466587040499,0.19140625,0.50048828125,5,0011,0.23944680976937124,False,True,False,null,-1,0,17,4965.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.116455078125,False,7.954806307175645,0.9943507883969557,4.053388146027308,0.5095520858089206,2.998341536678529,2.9995223354896154,2.9931801681369397,0.130859375,0.495361328125,2,0110,0.23962943502314116,False,True,False,null,-1,0,18,4966.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.11474609375,False,7.9501346838240945,0.9937668354780118,4.052175672617267,0.5096989967807853,2.997596941261765,2.9989780838944426,2.990928564600747,0.107421875,0.497802734375,2,0110,0.23891449990810237,False,True,False,null,-1,0,19,4967.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.117919921875,False,7.958005716442184,0.994750714555273,4.059344741985356,0.5100957308435037,2.9996672902910273,2.9985365631534586,2.9910745567080825,0.107421875,0.5050048828125,5,0011,0.2402221155673046,False,True,False,null,-1,0,20,4968.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.1142578125,False,7.952305990648288,0.994038248831036,4.041768572911275,0.5082511384325872,2.9981005660091373,2.9995337943791727,2.983348119964439,0.17578125,0.501708984375,4,0101,0.2387978841412072,False,True,False,null,-1,0,21,4969.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.1142578125,False,7.958463400951729,0.9948079251189661,4.033771919459715,0.5068531092292676,2.9989949685119193,2.99960555640941,2.9883845560982016,0.138671875,0.5025634765625,4,0101,0.23895181939879323,False,True,False,null,-1,0,22,4970.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.11865234375,False,7.951115718353907,0.9938894647942383,4.053413413452965,0.5097917772843243,2.997987991044575,2.9992776829606136,2.9853641825492696,0.12109375,0.5028076171875,5,0011,0.24030621327134769,False,True,False,null,-1,0,23,4971.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.11474609375,False,7.955860067525768,0.994482508440721,4.030062386798301,0.5065526985885801,2.999441807610558,2.9986530031051197,2.987958085365404,0.11328125,0.503173828125,2,0110,0.2390576345006442,False,True,False,null,-1,0,24,4972.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.1171875,False,7.955085230328618,0.9943856537910772,4.068517922689114,0.5114361197763116,2.998352213530762,2.999061234777038,2.9881133039439076,0.111328125,0.4976806640625,2,0110,0.23989275575821545,False,True,False,null,-1,0,25,4973.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.11962890625,False,7.947115590735446,0.9933894488419307,4.037508924174167,0.5080470867796357,2.9985955755140483,2.9990451240700713,2.9935889047152338,0.1015625,0.50146484375,5,0011,0.24054800695588616,False,True,False,null,-1,0,26,4974.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.115478515625,False,7.947185579953283,0.9933981974941604,4.037109603943483,0.507992365766198,2.9980465929796156,2.9970719794170146,2.9859521449865136,0.1484375,0.5068359375,2,0110,0.23909711996758207,False,True,False,null,-1,0,27,4975.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.114990234375,False,7.952688339628874,0.9940860424536092,4.03503234347879,0.5073796647319756,2.9973939517614,2.999252998067762,2.991369383462247,0.146484375,0.4957275390625,4,0101,0.23906379052197185,False,True,False,null,-1,0,28,4976.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.115966796875,False,7.953350151727708,0.9941687689659635,4.053933951814548,0.509714004095986,2.9989190793664244,2.9990008772990557,2.9797371786327105,0.08984375,0.50244140625,2,0110,0.2394221326994427,False,True,False,null,-1,0,29,4977.0,
