graph_id,source_observer,target_observer,source_nodes,target_nodes,n_micro_edges,shared_classes,residual_bits,residual_qcoords,label_entropy_bits,transport_mi_norm,deterministic_accuracy,live_quotient
60,7,5,7,15,1,1,0.0,0.0,-0.0,0.0,1.0,0
60,6,5,8,15,1,1,0.0,0.0,-0.0,0.0,1.0,0
60,8,5,13,15,1,1,0.0,0.0,-0.0,0.0,1.0,0
60,4,3,3,17,1,1,0.0,0.0,-0.0,0.0,1.0,0
60,7,3,7,17,1,1,0.0,0.0,-0.0,0.0,1.0,0
60,10,3,11,17,1,1,0.0,0.0,-0.0,0.0,1.0,0
61,1,0,8,0,1,3,1.584962500721156,0.792481250360578,1.5,1.0,1.0,1
61,2,1,13,5 8 14 16,4,1,0.0,0.0,-0.0,0.0,1.0,0
61,3,1,15,6,1,1,0.0,0.0,-0.0,0.0,1.0,0
62,2,1,2 4 16,8,3,4,2.0,1.0,1.9536280806109467,1.0,1.0,1
62,2,0,4 15,14,2,4,2.0,1.0,1.8496017527145814,1.0,1.0,1
63,1,0,7,8 14 15 17,4,1,0.0,0.0,-0.0,0.0,1.0,0
64,1,0,0,2 14 16,3,1,0.0,0.0,-0.0,0.0,1.0,0
64,2,0,1,3 4 8 16,4,1,0.0,0.0,-0.0,0.0,1.0,0
65,3,2,7,1,1,3,1.584962500721156,0.792481250360578,1.5,1.0,1.0,1
65,4,1,2 5 14 16,4,4,4,2.0,1.0,1.9975647727865429,1.0,1.0,1
65,1,0,4,6,1,1,0.0,0.0,-0.0,0.0,1.0,0
65,4,0,5 8 16,6,3,1,0.0,0.0,-0.0,0.0,1.0,0
65,4,3,8 17,7,2,4,2.0,1.0,1.9772170014624824,1.0,1.0,1
66,1,0,6,2,1,1,0.0,0.0,-0.0,0.0,1.0,0
67,2,1,13,1 5 10 16,4,1,0.0,0.0,-0.0,0.0,1.0,0
67,1,0,3 6,4,2,4,2.0,1.0,1.954434002924965,1.0,1.0,1
68,3,1,7,2,1,1,0.0,0.0,-0.0,0.0,1.0,0
68,2,1,11 16,2,2,1,0.0,0.0,-0.0,0.0,1.0,0
68,3,2,7,6 10,2,1,0.0,0.0,-0.0,0.0,1.0,0
68,2,0,1 3 9 14,17,4,4,2.0,1.0,1.9908965133546335,1.0,1.0,1
69,4,0,5 6,7,2,4,2.0,1.0,1.8050365325772657,1.0,1.0,1
69,4,3,4 5 6 15,10 14,4,1,0.0,0.0,-0.0,0.0,1.0,0
69,4,2,6,12,1,1,0.0,0.0,-0.0,0.0,1.0,0
69,3,2,14,12,1,1,0.0,0.0,-0.0,0.0,1.0,0
69,2,1,12,13,1,1,0.0,0.0,-0.0,0.0,1.0,0
69,4,1,16,13,1,1,0.0,0.0,-0.0,0.0,1.0,0
70,1,0,6 9 15,4,3,4,2.0,1.0,1.9929399035913808,1.0,1.0,1
70,3,1,14,13 17,2,1,0.0,0.0,-0.0,0.0,1.0,0
70,2,1,7,15 17,2,1,0.0,0.0,-0.0,0.0,1.0,0
71,3,1,0,4,1,1,0.0,0.0,-0.0,0.0,1.0,0
71,2,1,14,4,1,1,0.0,0.0,-0.0,0.0,1.0,0
71,4,2,7,8 15,2,1,0.0,0.0,-0.0,0.0,1.0,0
71,1,0,4,11,1,1,0.0,0.0,-0.0,0.0,1.0,0
71,2,0,15,11,1,1,0.0,0.0,-0.0,0.0,1.0,0
71,3,2,0,15 16,2,1,0.0,0.0,-0.0,0.0,1.0,0
72,1,0,13,2 12 16 17,4,1,0.0,0.0,-0.0,0.0,1.0,0
74,7,5,3,0 6,2,1,0.0,0.0,-0.0,0.0,1.0,0
74,9,5,7,2,1,1,0.0,0.0,-0.0,0.0,1.0,0
74,8,7,4,3,1,1,0.0,0.0,-0.0,0.0,1.0,0
74,9,7,7,3,1,1,0.0,0.0,-0.0,0.0,1.0,0
74,7,6,3,5,1,1,0.0,0.0,-0.0,0.0,1.0,0
74,8,6,4,5,1,1,0.0,0.0,-0.0,0.0,1.0,0
74,6,5,5,6 13,2,1,0.0,0.0,-0.0,0.0,1.0,0
74,5,0,2 9 15,8,3,1,0.0,0.0,-0.0,0.0,1.0,0
74,2,0,10,8,1,1,0.0,0.0,-0.0,0.0,1.0,0
74,8,5,4,9,1,1,0.0,0.0,-0.0,0.0,1.0,0
74,5,2,2 9,10,2,1,0.0,0.0,-0.0,0.0,1.0,0
74,9,2,7,10,1,1,0.0,0.0,-0.0,0.0,1.0,0
74,8,3,4,12,1,1,0.0,0.0,-0.0,0.0,1.0,0
74,5,3,13,12,1,1,0.0,0.0,-0.0,0.0,1.0,0
74,9,1,7,16,1,1,0.0,0.0,-0.0,0.0,1.0,0
74,2,1,10,16,1,1,0.0,0.0,-0.0,0.0,1.0,0
74,5,1,13 14,16,2,1,0.0,0.0,-0.0,0.0,1.0,0
74,5,4,13,17,1,3,1.584962500721156,0.792481250360578,1.5,1.0,1.0,1
75,12,4,8,0,1,1,0.0,0.0,-0.0,0.0,1.0,0
75,8,4,10,0,1,1,0.0,0.0,-0.0,0.0,1.0,0
75,10,4,12,0,1,1,0.0,0.0,-0.0,0.0,1.0,0
75,6,4,14,0,1,1,0.0,0.0,-0.0,0.0,1.0,0
75,12,5,8,1,1,4,2.0,1.0,2.0,1.0,1.0,1
75,7,0,9,4,1,1,0.0,0.0,-0.0,0.0,1.0,0
75,4,3,0,5,1,3,1.584962500721156,0.792481250360578,1.5,1.0,1.0,1
75,9,7,3,9,1,1,0.0,0.0,-0.0,0.0,1.0,0
75,10,7,12,9,1,1,0.0,0.0,-0.0,0.0,1.0,0
75,9,8,3,10,1,3,1.584962500721156,0.792481250360578,1.5,1.0,1.0,1
75,9,0,3,11,1,1,0.0,0.0,-0.0,0.0,1.0,0
75,3,0,5,11,1,1,0.0,0.0,-0.0,0.0,1.0,0
