kB,kA,q,w,horizon,observer_init,n_rec_B,n_A_states,n_joint_states,n_schedules,logRecB_bits,memory_bits,cut_bits,physical_bound_bits,signature_classes,signature_bits,zero_error_code_size,zero_error_exact,zero_error_bits,shannon_capacity_bits,zero_error_over_volume,capacity_over_volume,capacity_per_boundary_symbol,nontrivial_sccs,interface,seed,extra_B,extra_A
2,2,4,1,3,zero,1,16,256,4,0.0,4.0,6.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",19620,2,2
2,2,4,1,1,zero,1,16,256,4,0.0,4.0,2.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",19621,2,2
2,2,4,1,2,zero,1,16,256,4,0.0,4.0,4.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",19621,2,2
2,2,4,1,3,zero,1,16,256,4,0.0,4.0,6.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",19621,2,2
2,2,4,1,1,zero,2,16,256,4,1.0,4.0,2.0,1.0,2,1.0,1,True,0.0,0.32192809488736246,0.0,0.32192809488736246,0.16096404744368123,2,"((0, 0),)",19622,2,2
2,2,4,1,2,zero,2,16,256,4,1.0,4.0,4.0,1.0,2,1.0,2,True,1.0,1.0,1.0,1.0,0.5,2,"((0, 0),)",19622,2,2
2,2,4,1,3,zero,2,16,256,4,1.0,4.0,6.0,1.0,2,1.0,2,True,1.0,1.0,1.0,1.0,0.5,2,"((0, 0),)",19622,2,2
2,2,4,1,1,zero,4,16,256,4,2.0,4.0,2.0,2.0,3,1.584962500721156,2,True,1.0,0.9999999998835848,0.5,0.4999999999417924,0.4999999999417924,2,"((0, 0),)",19623,2,2
2,2,4,1,2,zero,4,16,256,4,2.0,4.0,4.0,2.0,4,2.0,1,True,0.0,0.5125167346686664,0.0,0.2562583673343332,0.2562583673343332,2,"((0, 0),)",19623,2,2
2,2,4,1,3,zero,4,16,256,4,2.0,4.0,6.0,2.0,3,1.584962500721156,1,True,0.0,0.21513377126403546,0.0,0.10756688563201773,0.10756688563201773,2,"((0, 0),)",19623,2,2
2,2,4,1,1,zero,1,16,256,4,0.0,4.0,2.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",19624,2,2
2,2,4,1,2,zero,1,16,256,4,0.0,4.0,4.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",19624,2,2
2,2,4,1,3,zero,1,16,256,4,0.0,4.0,6.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",19624,2,2
