k,q,w,ratio,n_rec,n_img,qk,one_over_e_ref,part_surv_full_count,part_surv_image_count,orbit_dim_image,orbit_dim_recurrent,R_active,R_passive_h1,R_passive_h2,ensemble,density,instance,seed,R_active_classes
2,4,1,0.5,2,3,16,0.31640625,0.625,0.41666666666666663,0.3962406251802891,0.25,1.0,1.0,1.0,cycle,0,48,10055,2.0
2,4,1,0.5,1,4,16,0.31640625,0.625,0.41666666666666663,0.5,0.0,,,,cycle,0,49,10056,
2,4,1,0.5,1,4,16,0.31640625,0.625,0.41666666666666663,0.5,0.0,,,,cycle,0,50,10057,
2,4,1,0.5,2,2,16,0.31640625,0.75,0.5,0.25,0.25,1.0,1.0,1.0,cycle,0,51,10058,2.0
2,4,1,0.5,1,4,16,0.31640625,0.625,0.41666666666666663,0.5,0.0,,,,cycle,0,52,10059,
2,4,1,0.5,5,5,16,0.31640625,0.5,0.3333333333333333,0.5804820237218405,0.5804820237218405,1.0,1.0,1.0,cycle,0,53,10060,5.0
2,4,1,0.5,2,3,16,0.31640625,0.625,0.41666666666666663,0.3962406251802891,0.25,1.0,1.0,1.0,cycle,0,54,10061,2.0
2,4,1,0.5,1,5,16,0.31640625,0.5,0.3333333333333333,0.5804820237218405,0.0,,,,cycle,0,55,10062,
2,4,1,0.5,1,3,16,0.31640625,0.75,0.6666666666666666,0.3962406251802891,0.0,,,,cycle,0,56,10063,
2,4,1,0.5,5,5,16,0.31640625,0.5,0.3333333333333333,0.5804820237218405,0.5804820237218405,1.0,1.0,1.0,cycle,0,57,10064,5.0
2,4,1,0.5,1,3,16,0.31640625,0.75,0.5,0.3962406251802891,0.0,,,,cycle,0,58,10065,
2,4,1,0.5,2,4,16,0.31640625,0.5,0.3333333333333333,0.5,0.25,1.0,1.0,1.0,cycle,0,59,10066,2.0
2,6,1,0.5,3,7,36,0.3348979766803842,0.3333333333333333,0.2,0.5430165662508459,0.30657359638272924,1.0,1.0,1.0,cycle,0,0,20014,3.0
2,6,1,0.5,3,6,36,0.3348979766803842,0.41666666666666663,0.225,0.5,0.30657359638272924,1.0,1.0,1.0,cycle,0,1,20015,3.0
2,6,1,0.5,4,8,36,0.3348979766803842,0.5,0.25,0.5802792108518123,0.3868528072345416,1.0,1.0,1.0,cycle,0,2,20016,4.0
2,6,1,0.5,1,9,36,0.3348979766803842,0.3333333333333333,0.2,0.6131471927654585,0.0,,,,cycle,0,3,20017,
2,6,1,0.5,6,8,36,0.3348979766803842,0.5,0.25,0.5802792108518123,0.5,1.0,1.0,1.0,cycle,0,4,20018,6.0
2,6,1,0.5,1,6,36,0.3348979766803842,0.5833333333333333,0.29166666666666663,0.5,0.0,,,,cycle,0,5,20019,
2,6,1,0.5,4,7,36,0.3348979766803842,0.5833333333333333,0.29166666666666663,0.5430165662508459,0.3868528072345416,1.0,1.0,1.0,cycle,0,6,20020,4.0
2,6,1,0.5,5,6,36,0.3348979766803842,0.5833333333333333,0.29166666666666663,0.5,0.4491222008519636,1.0,1.0,1.0,cycle,0,7,20021,5.0
2,6,1,0.5,2,6,36,0.3348979766803842,0.5,0.26666666666666666,0.5,0.1934264036172708,1.0,1.0,1.0,cycle,0,8,20022,2.0
2,6,1,0.5,6,7,36,0.3348979766803842,0.5833333333333333,0.29166666666666663,0.5430165662508459,0.5,1.0,1.0,1.0,cycle,0,9,20023,6.0
2,6,1,0.5,1,7,36,0.3348979766803842,0.5,0.25,0.5430165662508459,0.0,,,,cycle,0,10,20024,
2,6,1,0.5,1,7,36,0.3348979766803842,0.5,0.25,0.5430165662508459,0.0,,,,cycle,0,11,20025,
2,6,1,0.5,4,8,36,0.3348979766803842,0.5,0.25,0.5802792108518123,0.3868528072345416,1.0,1.0,1.0,cycle,0,12,20026,4.0
2,6,1,0.5,5,8,36,0.3348979766803842,0.41666666666666663,0.225,0.5802792108518123,0.4491222008519636,1.0,1.0,1.0,cycle,0,13,20027,5.0
2,6,1,0.5,5,8,36,0.3348979766803842,0.41666666666666663,0.225,0.5802792108518123,0.4491222008519636,1.0,1.0,1.0,cycle,0,14,20028,5.0
2,6,1,0.5,4,8,36,0.3348979766803842,0.5,0.25,0.5802792108518123,0.3868528072345416,1.0,1.0,1.0,cycle,0,15,20029,4.0
2,6,1,0.5,1,7,36,0.3348979766803842,0.5,0.25,0.5430165662508459,0.0,,,,cycle,0,16,20030,
2,6,1,0.5,2,6,36,0.3348979766803842,0.5,0.25,0.5,0.1934264036172708,1.0,1.0,1.0,cycle,0,17,20031,2.0
2,6,1,0.5,4,9,36,0.3348979766803842,0.41666666666666663,0.225,0.6131471927654585,0.3868528072345416,1.0,1.0,1.0,cycle,0,18,20032,4.0
2,6,1,0.5,2,6,36,0.3348979766803842,0.5,0.25,0.5,0.1934264036172708,1.0,1.0,1.0,cycle,0,19,20033,2.0
2,6,1,0.5,2,6,36,0.3348979766803842,0.5,0.25,0.5,0.1934264036172708,1.0,1.0,1.0,cycle,0,20,20034,2.0
2,6,1,0.5,6,9,36,0.3348979766803842,0.41666666666666663,0.225,0.6131471927654585,0.5,1.0,1.0,1.0,cycle,0,21,20035,6.0
2,6,1,0.5,4,5,36,0.3348979766803842,0.41666666666666663,0.225,0.4491222008519636,0.3868528072345416,1.0,1.0,1.0,cycle,0,22,20036,4.0
2,6,1,0.5,6,9,36,0.3348979766803842,0.41666666666666663,0.225,0.6131471927654585,0.5,1.0,1.0,1.0,cycle,0,23,20037,6.0
2,6,1,0.5,4,9,36,0.3348979766803842,0.41666666666666663,0.225,0.6131471927654585,0.3868528072345416,1.0,1.0,1.0,cycle,0,24,20038,4.0
2,6,1,0.5,6,8,36,0.3348979766803842,0.5,0.25,0.5802792108518123,0.5,1.0,1.0,1.0,cycle,0,25,20039,6.0
2,6,1,0.5,3,5,36,0.3348979766803842,0.5,0.25,0.4491222008519636,0.30657359638272924,1.0,1.0,1.0,cycle,0,26,20040,3.0
2,6,1,0.5,4,8,36,0.3348979766803842,0.5,0.25,0.5802792108518123,0.3868528072345416,1.0,1.0,1.0,cycle,0,27,20041,4.0
2,6,1,0.5,8,9,36,0.3348979766803842,0.41666666666666663,0.225,0.6131471927654585,0.5802792108518123,1.0,1.0,1.0,cycle,0,28,20042,8.0
2,6,1,0.5,7,8,36,0.3348979766803842,0.41666666666666663,0.225,0.5802792108518123,0.5430165662508459,1.0,1.0,1.0,cycle,0,29,20043,7.0
2,6,1,0.5,1,8,36,0.3348979766803842,0.41666666666666663,0.225,0.5802792108518123,0.0,,,,cycle,0,30,20044,
2,6,1,0.5,5,8,36,0.3348979766803842,0.41666666666666663,0.225,0.5802792108518123,0.4491222008519636,1.0,1.0,1.0,cycle,0,31,20045,5.0
2,6,1,0.5,1,6,36,0.3348979766803842,0.5833333333333333,0.29166666666666663,0.5,0.0,,,,cycle,0,32,20046,
2,6,1,0.5,7,8,36,0.3348979766803842,0.41666666666666663,0.225,0.5802792108518123,0.5430165662508459,1.0,1.0,1.0,cycle,0,33,20047,7.0
2,6,1,0.5,8,9,36,0.3348979766803842,0.41666666666666663,0.225,0.6131471927654585,0.5802792108518123,1.0,1.0,1.0,cycle,0,34,20048,8.0
2,6,1,0.5,7,8,36,0.3348979766803842,0.41666666666666663,0.225,0.5802792108518123,0.5430165662508459,1.0,1.0,1.0,cycle,0,35,20049,7.0
2,6,1,0.5,5,8,36,0.3348979766803842,0.41666666666666663,0.225,0.5802792108518123,0.4491222008519636,1.0,1.0,1.0,cycle,0,36,20050,5.0
2,6,1,0.5,2,6,36,0.3348979766803842,0.5,0.25,0.5,0.1934264036172708,1.0,1.0,1.0,cycle,0,37,20051,2.0
2,6,1,0.5,6,6,36,0.3348979766803842,0.5,0.25,0.5,0.5,1.0,1.0,1.0,cycle,0,38,20052,6.0
2,6,1,0.5,4,8,36,0.3348979766803842,0.5,0.25,0.5802792108518123,0.3868528072345416,1.0,1.0,1.0,cycle,0,39,20053,4.0
2,6,1,0.5,1,8,36,0.3348979766803842,0.41666666666666663,0.225,0.5802792108518123,0.0,,,,cycle,0,40,20054,
2,6,1,0.5,8,9,36,0.3348979766803842,0.41666666666666663,0.225,0.6131471927654585,0.5802792108518123,1.0,1.0,1.0,cycle,0,41,20055,8.0
2,6,1,0.5,2,6,36,0.3348979766803842,0.5,0.25,0.5,0.1934264036172708,1.0,1.0,1.0,cycle,0,42,20056,2.0
2,6,1,0.5,5,6,36,0.3348979766803842,0.5833333333333333,0.29166666666666663,0.5,0.4491222008519636,1.0,1.0,1.0,cycle,0,43,20057,5.0
2,6,1,0.5,1,6,36,0.3348979766803842,0.5833333333333333,0.29166666666666663,0.5,0.0,,,,cycle,0,44,20058,
2,6,1,0.5,1,8,36,0.3348979766803842,0.41666666666666663,0.225,0.5802792108518123,0.0,,,,cycle,0,45,20059,
2,6,1,0.5,10,11,36,0.3348979766803842,0.25,0.18333333333333335,0.6691454165528863,0.6425486044692345,1.0,1.0,1.0,cycle,0,46,20060,10.0
2,6,1,0.5,3,5,36,0.3348979766803842,0.5,0.25,0.4491222008519636,0.30657359638272924,1.0,1.0,1.0,cycle,0,47,20061,3.0
2,6,1,0.5,2,5,36,0.3348979766803842,0.5833333333333333,0.29166666666666663,0.4491222008519636,0.1934264036172708,1.0,1.0,1.0,cycle,0,48,20062,2.0
2,6,1,0.5,1,8,36,0.3348979766803842,0.41666666666666663,0.225,0.5802792108518123,0.0,,,,cycle,0,49,20063,
2,6,1,0.5,2,6,36,0.3348979766803842,0.5,0.25,0.5,0.1934264036172708,1.0,1.0,1.0,cycle,0,50,20064,2.0
2,6,1,0.5,1,6,36,0.3348979766803842,0.5833333333333333,0.29166666666666663,0.5,0.0,,,,cycle,0,51,20065,
2,6,1,0.5,1,6,36,0.3348979766803842,0.5833333333333333,0.29166666666666663,0.5,0.0,,,,cycle,0,52,20066,
2,6,1,0.5,5,8,36,0.3348979766803842,0.41666666666666663,0.225,0.5802792108518123,0.4491222008519636,1.0,1.0,1.0,cycle,0,53,20067,5.0
2,6,1,0.5,4,8,36,0.3348979766803842,0.5,0.25,0.5802792108518123,0.3868528072345416,1.0,1.0,1.0,cycle,0,54,20068,4.0
2,6,1,0.5,1,5,36,0.3348979766803842,0.6666666666666666,0.3333333333333333,0.4491222008519636,0.0,,,,cycle,0,55,20069,
2,6,1,0.5,2,7,36,0.3348979766803842,0.41666666666666663,0.225,0.5430165662508459,0.1934264036172708,1.0,1.0,1.0,cycle,0,56,20070,2.0
2,6,1,0.5,4,9,36,0.3348979766803842,0.41666666666666663,0.25,0.6131471927654585,0.3868528072345416,1.0,1.0,1.0,cycle,0,57,20071,4.0
2,6,1,0.5,5,7,36,0.3348979766803842,0.5,0.25,0.5430165662508459,0.4491222008519636,1.0,1.0,1.0,cycle,0,58,20072,5.0
2,6,1,0.5,1,8,36,0.3348979766803842,0.41666666666666663,0.225,0.5802792108518123,0.0,,,,cycle,0,59,20073,
2,8,1,0.5,6,12,64,0.34360891580581665,0.375,0.16666666666666666,0.5974937501201928,0.43082708345352605,1.0,1.0,1.0,cycle,0,0,30021,6.0
2,8,1,0.5,1,10,64,0.34360891580581665,0.4375,0.18333333333333335,0.5536546824812272,0.0,,,,cycle,0,1,30022,
2,8,1,0.5,5,10,64,0.34360891580581665,0.4375,0.18333333333333335,0.5536546824812272,0.3869880158145604,1.0,1.0,1.0,cycle,0,2,30023,5.0
2,8,1,0.5,5,9,64,0.34360891580581665,0.5,0.20833333333333331,0.5283208335737188,0.3869880158145604,1.0,1.0,1.0,cycle,0,3,30024,5.0
2,8,1,0.5,8,10,64,0.34360891580581665,0.375,0.16666666666666666,0.5536546824812272,0.5,1.0,1.0,1.0,cycle,0,4,30025,8.0
2,8,1,0.5,1,11,64,0.34360891580581665,0.375,0.16666666666666666,0.5765719364395496,0.0,,,,cycle,0,5,30026,
2,8,1,0.5,6,9,64,0.34360891580581665,0.4375,0.19642857142857142,0.5283208335737188,0.43082708345352605,1.0,1.0,1.0,cycle,0,6,30027,6.0
2,8,1,0.5,6,7,64,0.34360891580581665,0.5625,0.225,0.46789248700960073,0.43082708345352605,1.0,1.0,1.0,cycle,0,7,30028,6.0
2,8,1,0.5,2,9,64,0.34360891580581665,0.4375,0.18333333333333335,0.5283208335737188,0.16666666666666669,1.0,1.0,1.0,cycle,0,8,30029,2.0
2,8,1,0.5,1,11,64,0.34360891580581665,0.375,0.16666666666666666,0.5765719364395496,0.0,,,,cycle,0,9,30030,
