graph_id,cycle_id,length,observers,min_edge_mi_bits,mean_edge_mi_bits,product_edge_score,live_cycle,edge_pairs
17,6,3,2 4 5,0.02142741025898376,0.23780747247817935,0.00047964961535544093,0,2-4 4-5 2-5
17,7,3,2 5 8,0.024527385423529502,0.03014074906047452,2.6597028245673442e-05,0,2-5 5-8 2-8
17,8,3,3 4 5,0.04172341555022019,0.44853399034762137,0.0177319677222205,0,3-4 4-5 3-5
17,9,3,4 5 7,0.10192303425668481,0.3132268821895143,0.012056769660275697,1,4-5 5-7 4-7
17,10,3,5 6 7,0.14671974269144705,0.4421677441487919,0.026377787357013537,1,5-6 6-7 5-7
17,11,4,0 4 2 5,0.02142741025898376,0.08020603974742635,1.098436938264363e-05,0,0-4 2-4 2-5 0-5
17,12,4,0 4 3 5,0.04172341555022019,0.23825092814950788,0.0004060765965540235,0,0-4 3-4 3-5 0-5
17,13,4,0 4 5 7,0.037300822226523866,0.2645310858199096,0.0008077640127592958,0,0-4 4-5 5-7 0-7
17,14,4,0 4 7 5,0.08230995537084018,0.13677059703092753,0.000276109908712797,1,0-4 4-7 5-7 0-5
17,15,4,0 5 4 7,0.037300822226523866,0.21987698360274455,0.00020589790565091697,0,0-5 4-5 4-7 0-7
17,16,4,0 5 6 7,0.037300822226523866,0.3165826300722028,0.00045046321075608344,0,0-5 5-6 6-7 0-7
17,17,4,1 2 3 5,0.01539851335079545,0.3360275592037546,0.0002170614845347263,0,1-2 2-3 3-5 1-5
17,18,4,1 2 4 5,0.02142741025898376,0.34055220583610535,0.0003076905855809311,0,1-2 2-4 4-5 1-5
17,19,4,1 2 8 5,0.024527385423529502,0.18480216327282672,1.706173617914691e-05,0,1-2 2-8 5-8 1-5
17,20,4,2 3 4 5,0.01539851335079545,0.18727923401914248,1.4381793969363744e-05,0,2-3 3-4 4-5 2-5
17,21,4,2 3 5 4,0.01539851335079545,0.3351761197756058,0.00014022503515929372,0,2-3 3-5 4-5 2-4
17,22,4,2 3 5 8,0.01539851335079545,0.17942607721232717,7.77561182472442e-06,0,2-3 3-5 5-8 2-8
17,23,4,2 4 3 5,0.02142741025898376,0.1857690358408859,1.9645514423136784e-05,0,2-4 3-4 3-5 2-5
17,24,4,2 4 5 8,0.02142741025898376,0.18395072384467792,1.1022142231855554e-05,0,2-4 4-5 5-8 2-8
17,25,4,2 4 7 5,0.02142741025898376,0.08428870472230554,1.3357876912925208e-05,0,2-4 4-7 5-7 2-5
17,26,4,3 4 7 5,0.04172341555022019,0.24233359312438707,0.0004938218121614872,0,3-4 4-7 5-7 3-5
17,27,4,4 5 6 7,0.10192303425668481,0.4766542248762653,0.00983942488076662,1,4-5 5-6 6-7 4-7
17,28,5,0 4 2 1 5,0.02142741025898376,0.19392211297991774,7.046366638026597e-06,0,0-4 2-4 1-2 1-5 0-5
17,29,5,0 4 2 3 5,0.01539851335079545,0.1896212441315181,3.211268254103479e-06,0,0-4 2-4 2-3 3-5 0-5
17,30,5,0 4 2 5 7,0.02142741025898376,0.09111970312006354,8.949339301620606e-07,0,0-4 2-4 2-5 5-7 0-7
17,31,5,0 4 2 8 5,0.02142741025898376,0.06864092738677581,2.524160924699553e-07,0,0-4 2-4 2-8 5-8 0-5
17,32,5,0 4 3 2 5,0.01539851335079545,0.07130373552634746,3.293548713210198e-07,0,0-4 3-4 2-3 2-5 0-5
