usable_diamond,valid_transport_cycle,valid_holonomy,nontrivial_holonomy,min_edge_classes,min_edge_residual_bits,min_edge_transport,local_map_accuracy,holonomy_type,generated_group,group_order,source_observer,sink_observer,path1,path2,graph_id,cycle_id,length,observers,min_observer_edge_mi_bits,mean_observer_edge_mi_bits
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,10.0,4.0,10 8 7 5 4,10 4,60,53,5,4 5 7 8 10,0.10895246740134601,0.5047872866357351
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,9.0,5.0,9 8 6 5,9 7 5,60,55,5,5 6 8 9 7,0.16805631664447773,0.6013459008926823
0,0,0,0,0,0.0,0.0,0.0,not_usable,none,0,,,,,60,57,6,0 1 4 3 7 8,0.10206387854796128,0.15725578138897958
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,8.0,0.0,8 6 5 4 1 0,8 0,60,59,6,0 1 4 5 6 8,0.11487210519539337,0.509059562411916
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,8.0,0.0,8 7 5 4 1 0,8 0,60,61,6,0 1 4 5 7 8,0.10895246740134601,0.2768492719525666
0,0,0,0,0,0.0,0.0,0.0,not_usable,none,0,,,,,60,80,6,1 4 3 7 2 8,0.10206387854796128,0.3368916068964185
0,0,0,0,0,0.0,0.0,0.0,not_usable,none,0,,,,,60,81,6,1 4 3 7 5 8,0.1020319027509986,0.25366734992501283
0,0,0,0,0,0.0,0.0,0.0,not_usable,none,0,,,,,60,82,6,1 4 3 7 9 8,0.10206387854796128,0.4033864235286024
0,0,0,0,0,0.0,0.0,0.0,not_usable,none,0,,,,,60,85,6,1 4 5 7 2 8,0.1304833798807139,0.4564850974600055
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,9.0,1.0,9 7 5 4 1,9 8 1,60,86,6,1 4 5 7 9 8,0.16805631664447773,0.5229799140921894
0,0,0,0,0,0.0,0.0,0.0,not_usable,none,0,,,,,60,92,6,2 7 3 4 5 8,0.1020319027509986,0.31179266298887726
0,0,0,0,0,0.0,0.0,0.0,not_usable,none,0,,,,,60,93,6,2 7 3 4 10 8,0.10206387854796128,0.411142797269953
0,0,0,0,0,0.0,0.0,0.0,not_usable,none,0,,,,,60,94,6,2 7 5 4 10 8,0.1304833798807139,0.53073628783354
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,8.0,3.0,8 6 5 4 3,8 7 3,60,96,6,3 4 5 6 8 7,0.10206387854796128,0.4630855513602701
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,9.0,3.0,9 8 5 4 3,9 7 3,60,100,6,3 4 5 8 9 7,0.1020319027509986,0.37828747962106113
0,0,0,0,0,0.0,0.0,0.0,not_usable,none,0,,,,,60,102,6,3 4 10 8 5 7,0.1020319027509986,0.32791854029854733
0,0,0,0,0,0.0,0.0,0.0,not_usable,none,0,,,,,60,103,6,3 4 10 8 9 7,0.10206387854796128,0.4776376139021368
0,0,0,0,0,0.0,0.0,0.0,not_usable,none,0,,,,,60,107,6,4 5 7 9 8 10,0.16805631664447773,0.5972311044657238
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,3.0,1.0,3 2 1,3 1,68,0,3,1 2 3,0.10016823009297227,0.6695348257544594
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,4.0,1.0,4 2 1,4 1,69,0,3,1 2 4,0.521782221599798,0.5911322311366597
