q,w,nx,ny,ensemble,p_flip,mutation_rate,instances,loop_a,loop_b,area,perimeter,n_loop_samples,mean_W,abs_mean_W,valid_plaquette_fraction,z2_plaquette_fraction,nontrivial_plaquette_fraction,delta_type_counts,group_name_counts
4,1,4,4,permutive,0.0,0.0,100,2,3,6,10,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,permutive,0.0,0.0,100,2,4,8,12,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,permutive,0.0,0.0,100,3,1,3,8,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,permutive,0.0,0.0,100,3,2,6,10,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,permutive,0.0,0.0,100,3,3,9,12,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,permutive,0.0,0.0,100,3,4,12,14,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,permutive,0.0,0.0,100,4,1,4,10,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,permutive,0.0,0.0,100,4,2,8,12,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,permutive,0.0,0.0,100,4,3,12,14,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,permutive,0.0,0.0,100,4,4,16,16,0,,,1.0,0.0,0.958125,"{""cycle_2_2"": 207, ""cycle_3_1"": 521, ""cycle_4"": 402, ""cycle_2_1_1"": 403, ""identity"": 67}","{""S4"": 1154, ""order_6"": 80, ""A4"": 180, ""V4"": 24, ""D4_or_order8"": 119, ""C4"": 28, ""C3"": 11, ""C2"": 4}"
4,1,4,4,random,0.0,0.0,100,1,1,1,4,3,-0.3333333333333333,0.3333333333333333,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,1,2,2,6,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,1,3,3,8,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,1,4,4,10,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,2,1,2,6,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,2,2,4,8,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,2,3,6,10,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,2,4,8,12,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,3,1,3,8,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,3,2,6,10,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,3,3,9,12,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,3,4,12,14,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,4,1,4,10,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,4,2,8,12,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,4,3,12,14,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,4,4,random,0.0,0.0,100,4,4,16,16,0,,,0.001875,0.001875,0.02,"{""cycle_2"": 2, ""identity"": 1}","{""C2"": 3}"
4,1,6,6,c2link,0.1,0.0,100,1,1,1,4,3600,0.11166666666666666,0.11166666666666666,1.0,1.0,0.4441666666666666,"{""identity"": 2001, ""cycle_2"": 1599}","{""trivial"": 1605, ""C2"": 1995}"
4,1,6,6,c2link,0.1,0.0,100,1,2,2,6,3000,0.12133333333333333,0.12133333333333333,1.0,1.0,0.4441666666666666,"{""identity"": 2001, ""cycle_2"": 1599}","{""trivial"": 1605, ""C2"": 1995}"
4,1,6,6,c2link,0.1,0.0,100,1,3,3,8,2400,0.0575,0.0575,1.0,1.0,0.4441666666666666,"{""identity"": 2001, ""cycle_2"": 1599}","{""trivial"": 1605, ""C2"": 1995}"
4,1,6,6,c2link,0.1,0.0,100,1,4,4,10,1800,0.027777777777777776,0.027777777777777776,1.0,1.0,0.4441666666666666,"{""identity"": 2001, ""cycle_2"": 1599}","{""trivial"": 1605, ""C2"": 1995}"
4,1,6,6,c2link,0.1,0.0,100,2,1,2,6,3000,0.41733333333333333,0.41733333333333333,1.0,1.0,0.4441666666666666,"{""identity"": 2001, ""cycle_2"": 1599}","{""trivial"": 1605, ""C2"": 1995}"
4,1,6,6,c2link,0.1,0.0,100,2,2,4,8,2500,0.2624,0.2624,1.0,1.0,0.4441666666666666,"{""identity"": 2001, ""cycle_2"": 1599}","{""trivial"": 1605, ""C2"": 1995}"
4,1,6,6,c2link,0.1,0.0,100,2,3,6,10,2000,0.115,0.115,1.0,1.0,0.4441666666666666,"{""identity"": 2001, ""cycle_2"": 1599}","{""trivial"": 1605, ""C2"": 1995}"
4,1,6,6,c2link,0.1,0.0,100,2,4,8,12,1500,0.03866666666666667,0.03866666666666667,1.0,1.0,0.4441666666666666,"{""identity"": 2001, ""cycle_2"": 1599}","{""trivial"": 1605, ""C2"": 1995}"
4,1,6,6,c2link,0.1,0.0,100,3,1,3,8,2400,0.0375,0.0375,1.0,1.0,0.4441666666666666,"{""identity"": 2001, ""cycle_2"": 1599}","{""trivial"": 1605, ""C2"": 1995}"
4,1,6,6,c2link,0.1,0.0,100,3,2,6,10,2000,0.05,0.05,1.0,1.0,0.4441666666666666,"{""identity"": 2001, ""cycle_2"": 1599}","{""trivial"": 1605, ""C2"": 1995}"
4,1,6,6,c2link,0.1,0.0,100,3,3,9,12,1600,-0.02625,0.02625,1.0,1.0,0.4441666666666666,"{""identity"": 2001, ""cycle_2"": 1599}","{""trivial"": 1605, ""C2"": 1995}"
4,1,6,6,c2link,0.1,0.0,100,3,4,12,14,1200,0.0016666666666666668,0.0016666666666666668,1.0,1.0,0.4441666666666666,"{""identity"": 2001, ""cycle_2"": 1599}","{""trivial"": 1605, ""C2"": 1995}"
4,1,6,6,c2link,0.1,0.0,100,4,1,4,10,1800,0.1322222222222222,0.1322222222222222,1.0,1.0,0.4441666666666666,"{""identity"": 2001, ""cycle_2"": 1599}","{""trivial"": 1605, ""C2"": 1995}"
4,1,6,6,c2link,0.1,0.0,100,4,2,8,12,1500,0.07466666666666667,0.07466666666666667,1.0,1.0,0.4441666666666666,"{""identity"": 2001, ""cycle_2"": 1599}","{""trivial"": 1605, ""C2"": 1995}"
4,1,6,6,c2link,0.1,0.0,100,4,3,12,14,1200,0.028333333333333332,0.028333333333333332,1.0,1.0,0.4441666666666666,"{""identity"": 2001, ""cycle_2"": 1599}","{""trivial"": 1605, ""C2"": 1995}"
