q,w,nx,ny,valid_plaquette_fraction,z2_plaquette_fraction,nontrivial_plaquette_fraction,delta_type_counts,group_name_counts,mean_residual_qcoords,min_residual_qcoords,mean_residual_norm,min_residual_norm,mean_edge_transport,min_edge_transport,mean_edge_accuracy,min_edge_accuracy,blind_fitness,blind_fitness_stage,selected_lattice,full_valid_lattice,nontrivial_flux,search_mode,run,generation,candidate,seed,proposal_mode,wilson_area_1_mean,wilson_area_1_abs,wilson_area_1_n,target_mode,wilson_area_2_mean,wilson_area_2_abs,wilson_area_2_n,wilson_area_4_mean,wilson_area_4_abs,wilson_area_4_n,wilson_area_3_mean,wilson_area_3_abs,wilson_area_3_n,wilson_area_6_mean,wilson_area_6_abs,wilson_area_6_n,wilson_area_9_mean,wilson_area_9_abs,wilson_area_9_n
4,1,3,3,0.0,0.0,0.0,{},{},0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.9722222222222222,0.75,0.125,transport,False,False,False,null,-1,0,81,45887,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.9444444444444444,0.75,0.1361111111111111,transport,False,False,False,null,-1,0,82,45888,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.8333333333333334,0.5,0.11111111111111112,transport,False,False,False,null,-1,0,83,45889,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.9722222222222222,0.75,0.125,transport,False,False,False,null,-1,0,84,45890,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.7777777777777778,0.5,0.11944444444444444,transport,False,False,False,null,-1,0,85,45891,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.8333333333333334,0.5,0.11111111111111112,transport,False,False,False,null,-1,0,86,45892,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.75,0.09444444444444444,transport,False,False,False,null,-1,0,87,45893,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.14360902781784202,0.0,0.14360902781784202,0.0,0.0,0.0,0.9722222222222222,0.75,0.13312447917668274,transport,False,False,False,null,-1,0,88,45894,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.9166666666666666,0.75,0.10555555555555557,transport,False,False,False,null,-1,0,89,45895,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,transport,False,False,False,null,-1,0,90,45896,random,,,,,,,,,,,,,,,,,,,
