q,rows,cols,n_links,n_plaquettes,rule_ensemble,mutation_rate,closed_scc,n_scc,link_schedule_consistency,flux_schedule_consistency,quotient_determinism_accuracy,quotient_determinism_exact,link_bit_entropy_bits,link_bit_entropy_norm,quotient_transition_mi_bits,quotient_transition_mi_norm,plaquette_flux_entropy_bits,initial_flux_entropy_bits,recurrent_flux_entropy_bits,recurrent_flux_fixed_fraction,mean_nontrivial_flux_fraction,partition_index,partition,quotient_score,closed_c2_quotient,recurrent_flux_nontrivial,closed_medium_candidate,seed,instance,mode
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.955701127938181,0.9944626409922727,0.0,0.0,-0.0,2.998503457758732,-0.0,1.0,0.5015869140625,5,0011,0.9988925281984546,True,False,False,72031,37,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.955342092584122,0.9944177615730152,0.0,0.0,-0.0,2.999187831082133,-0.0,1.0,0.49951171875,5,0011,0.9988835523146031,True,False,False,72032,38,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.952881134520981,0.9941101418151226,0.0,0.0,-0.0,2.9981095243014155,-0.0,1.0,0.4984130859375,5,0011,0.9988220283630246,True,False,False,72033,39,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.953392377409843,0.9941740471762304,0.0,0.0,-0.0,2.999196891717281,-0.0,1.0,0.4979248046875,5,0011,0.9988348094352462,True,False,False,72034,40,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.9613159362589725,0.9951644920323716,0.0,0.0,-0.0,2.9980330482903477,-0.0,1.0,0.501220703125,5,0011,0.9990328984064744,True,False,False,72035,41,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.956189261922916,0.9945236577403646,0.0,0.0,-0.0,2.9989009252751453,-0.0,1.0,0.5042724609375,5,0011,0.998904731548073,True,False,False,72036,42,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.958548270060386,0.9948185337575483,0.0,0.0,-0.0,2.998983757679362,-0.0,1.0,0.5054931640625,5,0011,0.9989637067515097,True,False,False,72037,43,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.960538635173138,0.9950673293966422,0.0,0.0,-0.0,2.9988493269898093,-0.0,1.0,0.5010986328125,5,0011,0.9990134658793285,True,False,False,72038,44,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.953347490147324,0.9941684362684154,0.0,0.0,-0.0,2.999163757288688,-0.0,1.0,0.5032958984375,5,0011,0.9988336872536832,True,False,False,72039,45,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.952956399786757,0.9941195499733446,0.0,0.0,-0.0,2.9991989973438047,-0.0,1.0,0.5035400390625,5,0011,0.998823909994669,True,False,False,72040,46,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.953270966583704,0.994158870822963,0.0,0.0,-0.0,2.9992910943173987,-0.0,1.0,0.5006103515625,5,0011,0.9988317741645927,True,False,False,72041,47,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.949430722266483,0.9936788402833103,0.0,0.0,-0.0,2.9990991344990157,-0.0,1.0,0.4971923828125,5,0011,0.9987357680566621,True,False,False,72042,48,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.949765905829475,0.9937207382286843,0.0,0.0,-0.0,2.9980759126051373,-0.0,1.0,0.4974365234375,5,0011,0.9987441476457369,True,False,False,72043,49,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.9614638681395,0.9951829835174375,7.9614638681395,1.0,2.9982014135152557,2.9982014135152557,2.982522423095848,1.0,0.495361328125,2,0110,0.9990365967034875,True,True,True,54974,0,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.956930695220175,0.9946163369025218,7.956930695220175,1.0,2.9985148296849102,2.9985148296849102,2.991131703373843,1.0,0.5103759765625,5,0011,0.9989232673805044,True,True,True,54975,1,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.958225627604207,0.9947782034505259,7.958225627604207,1.0,2.9989813345376968,2.9989813345376968,2.9838700334153905,1.0,0.5054931640625,2,0110,0.9989556406901052,True,True,True,54976,2,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.959959659409826,0.9949949574262282,7.959959659409826,1.0,2.999517624225539,2.999517624225539,2.9978783941788274,1.0,0.5045166015625,2,0110,0.9989989914852457,True,True,True,54977,3,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.959045525810933,0.9948806907263666,7.959045525810933,1.0,2.9993076470630635,2.9993076470630635,2.9784004140245464,1.0,0.4932861328125,4,0101,0.9989761381452734,True,True,True,54978,4,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.960603494197251,0.9950754367746564,7.960603494197251,1.0,2.99923329535389,2.99923329535389,2.986721875572169,1.0,0.4986572265625,2,0110,0.9990150873549313,True,True,True,54979,5,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.954441364306623,0.9943051705383279,7.954441364306623,1.0,2.999220044456756,2.999220044456756,2.997255964063114,1.0,0.5008544921875,5,0011,0.9988610341076656,True,True,True,54980,6,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.958447967892938,0.9948059959866172,7.958447967892938,1.0,2.9992022335710247,2.9992022335710247,2.9982379216282093,1.0,0.501708984375,5,0011,0.9989611991973235,True,True,True,54981,7,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.962148843033994,0.9952686053792492,7.962148843033994,1.0,2.99937267507162,2.99937267507162,2.983353369668847,1.0,0.5015869140625,2,0110,0.9990537210758499,True,True,True,54982,8,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.957520301487791,0.9946900376859739,7.957520301487791,1.0,2.9986228202076752,2.9986228202076752,2.978531673652237,1.0,0.5,5,0011,0.9989380075371949,True,True,True,54983,9,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.957166802595934,0.9946458503244917,7.957166802595934,1.0,2.998903414423931,2.998903414423931,2.985482022804078,1.0,0.5054931640625,4,0101,0.9989291700648983,True,True,True,54984,10,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.9490775110861875,0.9936346888857734,7.9490775110861875,1.0,2.999366159812261,2.999366159812261,2.9936919472014427,1.0,0.5032958984375,5,0011,0.9987269377771547,True,True,True,54985,11,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.962026727856758,0.9952533409820947,7.962026727856758,1.0,2.9993181937960314,2.9993181937960314,2.9958127562211874,1.0,0.504638671875,5,0011,0.999050668196419,True,True,True,54986,12,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.956878375547751,0.9946097969434688,7.956878375547751,1.0,2.99902661757098,2.99902661757098,2.9946962184916304,1.0,0.4971923828125,2,0110,0.9989219593886938,True,True,True,54987,13,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.956389204732542,0.9945486505915677,7.956389204732542,1.0,2.998376691512556,2.998376691512556,2.9839108923962643,1.0,0.491455078125,2,0110,0.9989097301183136,True,True,True,54988,14,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.958873844828364,0.9948592306035455,7.958873844828364,1.0,2.9991574296399235,2.9991574296399235,2.980316326283784,1.0,0.50048828125,4,0101,0.9989718461207091,True,True,True,54989,15,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.957057274441608,0.994632159305201,7.957057274441608,1.0,2.998090710042178,2.998090710042178,2.9860078850896183,1.0,0.5023193359375,4,0101,0.9989264318610402,True,True,True,54990,16,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.9577591471593685,0.9947198933949211,7.9577591471593685,1.0,2.998670877855594,2.998670877855594,2.9944979113763,1.0,0.5062255859375,2,0110,0.9989439786789842,True,True,True,54991,17,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.960915801229911,0.9951144751537389,7.960915801229911,1.0,2.999234706429451,2.999234706429451,2.9897330427283637,1.0,0.501953125,5,0011,0.9990228950307478,True,True,True,54992,18,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.955940744930338,0.9944925931162922,7.955940744930338,1.0,2.9990117833062553,2.9990117833062553,2.993093478290441,1.0,0.498779296875,4,0101,0.9988985186232585,True,True,True,54993,19,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.955355288706025,0.9944194110882532,7.955355288706025,1.0,2.999649985179765,2.999649985179765,2.9908893480853034,1.0,0.501708984375,2,0110,0.9988838822176507,True,True,True,54994,20,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.959767411131267,0.9949709263914084,7.959767411131267,1.0,2.9994641920781713,2.9994641920781713,2.9947100769867543,1.0,0.503662109375,4,0101,0.9989941852782818,True,True,True,54995,21,sweep
