eq_mode,eq_shared_classes,eq_shared_classes_mean,eq_shared_classes_min,eq_n_observed_pairs,eq_edge_density_mean,eq_residual_qcoords,eq_residual_bits,eq_cost_qcoords,eq_cost_bits,eq_residual_per_width,eq_cost_per_width,kB,kC,kD,kM,kA,k_total,q,w,n_initial_states,n_schedules,initial_pool,observer_init,extra_B,extra_C,extra_D,extra_A,eq_hidden_A_cost_qcoords,eq_hidden_A_cost_bits,eq_panel_cost_qcoords,eq_panel_residual_qcoords,product_sink_cost_qcoords,product_sink_cost_bits,product_cost_A_qcoords,product_cost_A_panel_qcoords,product_hidden_A_cost_qcoords,product_collapsed_vertices,product_fully_collapsed_vertices,product_admissibility_merges,overcollapse_avoided_qcoords,hidden_collapse_avoided_qcoords,equalizer_cost_fraction_of_product_A,seed,instance,eq_alphabet_size_per_side,eq_edge_density,eq_class_sizes_left,eq_class_sizes_right,eq_observed_left_words,eq_observed_right_words
pairwise,[1],1.0,1,[7],0.4375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12320,35,,,,,,
joint,[1],1.0,1,[7],0.4375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12320,35,4.0,0.4375,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[7],0.4375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12321,36,,,,,,
joint,[1],1.0,1,[7],0.4375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12321,36,4.0,0.4375,[3],[3],3.0,3.0
pairwise,[1],1.0,1,[7],0.4375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12322,37,,,,,,
joint,[1],1.0,1,[7],0.4375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12322,37,4.0,0.4375,[3],[4],3.0,4.0
pairwise,[1],1.0,1,[10],0.625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12323,38,,,,,,
joint,[1],1.0,1,[10],0.625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12323,38,4.0,0.625,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[10],0.625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12324,39,,,,,,
joint,[1],1.0,1,[10],0.625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12324,39,4.0,0.625,[4],[3],4.0,3.0
pairwise,[1],1.0,1,[6],0.375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12325,40,,,,,,
joint,[1],1.0,1,[6],0.375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12325,40,4.0,0.375,[3],[3],3.0,3.0
pairwise,[1],1.0,1,[6],0.375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12326,41,,,,,,
joint,[1],1.0,1,[6],0.375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12326,41,4.0,0.375,[4],[3],4.0,3.0
pairwise,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12327,42,,,,,,
joint,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12327,42,4.0,0.6875,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[6],0.375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12328,43,,,,,,
joint,[1],1.0,1,[6],0.375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12328,43,4.0,0.375,[3],[3],3.0,3.0
pairwise,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12329,44,,,,,,
joint,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12329,44,4.0,0.6875,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[8],0.5,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12330,45,,,,,,
joint,[1],1.0,1,[8],0.5,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12330,45,4.0,0.5,[3],[4],3.0,4.0
pairwise,[1],1.0,1,[10],0.625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12331,46,,,,,,
joint,[1],1.0,1,[10],0.625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12331,46,4.0,0.625,[3],[4],3.0,4.0
