eq_alphabet_size_per_side,eq_n_observed_pairs,eq_edge_density,eq_shared_classes,eq_residual_qcoords,eq_residual_bits,eq_cost_qcoords,eq_cost_bits,eq_class_sizes_left,eq_class_sizes_right,eq_observed_left_words,eq_observed_right_words,eq_mode,eq_shared_classes_mean,eq_shared_classes_min,eq_edge_density_mean,eq_residual_per_width,eq_cost_per_width,kB,kC,kD,kM,kA,k_total,q,w,n_initial_states,n_schedules,initial_pool,observer_init,extra_B,extra_C,extra_D,extra_A,eq_hidden_A_cost_qcoords,eq_hidden_A_cost_bits,eq_panel_cost_qcoords,eq_panel_residual_qcoords,product_sink_cost_qcoords,product_sink_cost_bits,product_cost_A_qcoords,product_cost_A_panel_qcoords,product_hidden_A_cost_qcoords,product_collapsed_vertices,product_fully_collapsed_vertices,product_admissibility_merges,overcollapse_avoided_qcoords,hidden_collapse_avoided_qcoords,equalizer_cost_fraction_of_product_A,rule_interface_mi_norm_mean,rule_interface_mi_bits_mean,rule_interface_copy_accuracy_mean,rule_interface_cond_entropy_bits_mean,rule_interface_output_entropy_bits_mean,rule_interface_n,rule_interface_roles,rule_ensemble,mutation_rate,selected,selection_threshold_qcoords,seed,instance,n_blocks
3,[4],0.4444444444444444,[1],0.0,0.0,2.0,3.169925001442312,[2],[3],2,3,joint,1.0,1,0.4444444444444444,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.3619228638095007,0.5736341672916686,0.711111111111111,0.7455305560363265,1.319164723327995,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.02,False,1e-09,1068905,4,2
3,[2],0.2222222222222222,[2],0.6309297535714574,1.0,1.3690702464285427,2.169925001442312,"[1, 1]","[1, 1]",2,2,joint,2.0,2,0.2222222222222222,0.6309297535714574,1.3690702464285427,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.3690702464285427,0.6309297535714574,,,,,,0,0,0,,,,0.372869061110294,0.5909834795389213,0.7777777777777777,0.6121972227029933,1.2031807022419145,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.02,True,1e-09,1068906,5,2
3,[5],0.5555555555555556,[1],0.0,0.0,2.0,3.169925001442312,[3],[2],3,2,joint,1.0,1,0.5555555555555556,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.5517010173007754,0.8744254240314427,0.7777777777777777,0.6121972227029933,1.486622646734436,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.02,False,1e-09,1068907,6,2
3,[5],0.5555555555555556,[1],0.0,0.0,2.0,3.169925001442312,[3],[3],3,3,joint,1.0,1,0.5555555555555556,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.3885640062694161,0.6158593790670048,0.711111111111111,0.7287552782104715,1.3446146572774762,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.02,False,1e-09,1068908,7,2
3,[7],0.7777777777777778,[1],0.0,0.0,2.0,3.169925001442312,[3],[3],3,3,joint,1.0,1,0.7777777777777778,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.3828664027490833,0.6068288911433004,0.6888888888888889,0.8067502783066256,1.413579169449926,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.02,False,1e-09,1068909,8,2
3,[5],0.5555555555555556,[1],0.0,0.0,2.0,3.169925001442312,[2],[3],2,3,joint,1.0,1,0.5555555555555556,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.29014527388847144,0.4598693788746965,0.6444444444444445,0.9124144450213695,1.372283823896066,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.02,False,1e-09,1068910,9,2
3,[6],0.6666666666666666,[1],0.0,0.0,2.0,3.169925001442312,[3],[3],3,3,joint,1.0,1,0.6666666666666666,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.45500616806614663,0.7211677139816703,0.7555555555555554,0.6566416671474375,1.3778093811291081,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.02,False,1e-09,1068911,10,2
3,[5],0.5555555555555556,[1],0.0,0.0,2.0,3.169925001442312,[3],[2],3,2,joint,1.0,1,0.5555555555555556,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.3728690611102941,0.5909834795389213,0.7333333333333332,0.7178613894177369,1.3088448689566583,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.02,False,1e-09,1068912,11,2
3,[5],0.5555555555555556,[1],0.0,0.0,2.0,3.169925001442312,[3],[3],3,3,joint,1.0,1,0.5555555555555556,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.33424371682458104,0.529763757268622,0.6888888888888889,0.8235255561324806,1.3532893134011026,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.02,False,1e-09,1068913,12,2
3,[6],0.6666666666666666,[1],0.0,0.0,2.0,3.169925001442312,[2],[3],2,3,joint,1.0,1,0.6666666666666666,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.33284353690354285,0.5275445245995136,0.6888888888888889,0.8067502783066258,1.3342948029061394,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.02,False,1e-09,1068914,13,2
