candidate_index,schedule_index,schedule_branch_order,schedule_pair_id,q,w,k_total,kB,kC,kD,kA,exact_shared_classes,exact_residual_qcoords,n_joint_states,n_initial_states,n_attractors,mean_cycle_period,max_cycle_period,mean_label_period,max_label_period,mean_cycle_label_valid_fraction,all_valid_basin_fraction,constant_cycle_fraction,constant_basin_fraction,phase_cycle_fraction,phase_basin_fraction,stable_label_classes,stable_label_entropy_bits,stable_label_entropy_norm,init_label_to_stable_label_mi_bits,init_label_to_stable_label_mi_norm,attractor_label_conservation_fraction,attractor_label_transition_mi_bits,attractor_label_transition_mi_norm,saved_run,saved_generation,saved_candidate,saved_blind_fitness,saved_fitness_mode,saved_target_mode
1,27,DC,13,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,49,1176,1.0000010000009965,two_stage,interface
1,28,CD,14,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,49,1176,1.0000010000009965,two_stage,interface
1,29,DC,14,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,49,1176,1.0000010000009965,two_stage,interface
1,30,CD,15,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,49,1176,1.0000010000009965,two_stage,interface
1,31,DC,15,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,49,1176,1.0000010000009965,two_stage,interface
2,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.4375,0.5,0.4375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,1,DC,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.4375,0.5,0.4375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,2,CD,1,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.4375,0.5,0.4375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,3,DC,1,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.4375,0.5,0.4375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,4,CD,2,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.3125,0.5,0.3125,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,5,DC,2,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.3125,0.5,0.3125,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,6,CD,3,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.3125,0.5,0.3125,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,7,DC,3,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.3125,0.5,0.3125,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,8,CD,4,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.4375,0.5,0.4375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,9,DC,4,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.4375,0.5,0.4375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,10,CD,5,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.4375,0.5,0.4375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,11,DC,5,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.4375,0.5,0.4375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,12,CD,6,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.3125,0.5,0.3125,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,13,DC,6,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.3125,0.5,0.3125,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,14,CD,7,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.3125,0.5,0.3125,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,15,DC,7,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.3125,0.5,0.3125,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,16,CD,8,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,17,DC,8,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,18,CD,9,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,19,DC,9,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,20,CD,10,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,21,DC,10,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,22,CD,11,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,23,DC,11,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,24,CD,12,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,25,DC,12,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,26,CD,13,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,27,DC,13,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,28,CD,14,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,29,DC,14,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,30,CD,15,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
2,31,DC,15,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
3,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.4375,0.5,0.4375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,47,1128,1.0000010000009965,two_stage,interface
3,1,DC,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.4375,0.5,0.4375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,47,1128,1.0000010000009965,two_stage,interface
3,2,CD,1,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.4375,0.5,0.4375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,47,1128,1.0000010000009965,two_stage,interface
3,3,DC,1,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.4375,0.5,0.4375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,47,1128,1.0000010000009965,two_stage,interface
3,4,CD,2,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.3125,0.5,0.3125,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,47,1128,1.0000010000009965,two_stage,interface
3,5,DC,2,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.3125,0.5,0.3125,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,47,1128,1.0000010000009965,two_stage,interface
3,6,CD,3,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.3125,0.5,0.3125,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,47,1128,1.0000010000009965,two_stage,interface
3,7,DC,3,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.3125,0.5,0.3125,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,47,1128,1.0000010000009965,two_stage,interface
